countryname,slug,canonicalNames,population,flightPrice,timeDifference,CurrencyRate,developmentStatus,visaType
Norway,norway,"['Oslo', 'Scandinavian', 'Schengen', 'Europe']",5M people,"₹34,527.00",4 hrs 30 min behind,"Norwegian Krone,100 INR = 12.57 NOK",Developed,Visa Required
New Zealand,new-zealand,"['Auckland', 'Queenstown']",5M people,"₹31,533.00",6 hrs 30 min ahead,"New Zealand Dollar,100 INR = 1.96 NZD",Developed,Visa Required
Philippines,philippines,"['ASEAN', 'Manila']",103M people,"₹17,312.00",2 hrs 30 min ahead,"Philippine Peso,100 INR = 67.16 PHP",Developing,Visa Required
Poland,poland,"['Warsaw', 'Krakow', 'EU', 'Europe', 'Schengen']",38M people,"₹25,390.00",4 hrs 30 min behind,"Zloty,100 INR = 4.75 PLN",Developed,Visa Required
Sweden,sweden,"['Scandinavian', 'Gothenburg', 'Stockholm', 'EU', 'Europe', 'Schengen']",10M people,"₹30,063.00",4 hrs 30 min behind,"Swedish Krona,100 INR = 12.48 SEK",Developed,Visa Required
Slovenia,slovenia,"['EU', 'Europe', 'Schengen']",2M people,"₹32,042.00",4 hrs 30 min behind,"Euro,100 INR = 1.10 EUR",Developed,Visa Required
Slovakia,slovakia,"['EU', 'Europe', 'Schengen']",5M people,"₹36,412.00",4 hrs 30 min behind,"Euro,100 INR = 1.10 EUR",Developed,Visa Required
Tajikistan,tajikistan,['Dushanbe'],9M people,"₹27,387.00",30 min behind,"Somoni,100 INR = 13.22 TJS",Developing,E-visa
Tanzania,tanzania,"['Africa', 'Dar es Salaam']",55M people,"₹19,314.00",2 hrs 30 min behind,"Tanzanian Shilling,100 INR = 3078.39 TZS",Least Developed,Visa on Arrival
United States,united-states-of-america,"['US', 'USA', 'America', 'New York City', 'San Francisco', 'SF', 'NYC', 'Las Vegas', 'Chicago']",324M people,"₹55,701.00",9 hrs 30 min to 12 hrs 30 min behind,"US Dollar,100 INR = 1.21 USD",Developed,Visa Required
Uruguay,uruguay,['South America'],3M people,"₹71,439.00",8 hrs 30 min behind,"Peso Uruguayo,100 INR = 47.05 UYU",Developing,Visa Required
South Africa,south-africa,"['Cape Town', 'Johannesburg']",56M people,"₹18,447.00",3 hrs 30 min behind,"Rand,100 INR = 22.57 ZAR",Developing,E-visa
Afghanistan,afghanistan,['Kabul'],28M people,"₹22,825.00",1 hr behind,"Afghani,100 INR = 85.91 AFN",Least Developed,Visa Required
Botswana,botswana,['Africa'],2M people,"₹39,353.00",3 hrs 30 min behind,"Pula,100 INR = 16.38 BWP",Developing,E-visa
Moldova,moldova,['Europe'],4M people,"₹28,776.00",3 hrs 30 min behind,"Moldovan Leu,100 INR = 21.29 MDL",Developed,E-visa
Myanmar,myanmar,"['ASEAN', 'Burma', 'Mandalay']",51M people,"₹10,269.00",1 hr ahead,"Kyat,100 INR = 2535.09 MMK",Least Developed,Visa on Arrival
Mozambique,mozambique,"['Maputo', 'Africa']",26M people,"₹23,748.00",3 hrs 30 min behind,"Mozambique Metical,100 INR = 76.73 MZN",Least Developed,E-visa
Nigeria,nigeria,"['Lagos', 'Africa']",187M people,"₹19,165.00",4 hrs 30 min behind,"Naira,100 INR = 1926.64 NGN",Developing,Visa Required
Uganda,uganda,['Africa'],34M people,"₹21,467.00",2 hrs 30 min behind,"Uganda Shilling,100 INR = 4714.24 UGX",Least Developed,E-visa
Zimbabwe,zimbabwe,"['Harare', 'Africa']",14M people,"₹21,764.00",3 hrs 30 min behind,"US Dollar,100 INR= 1.21 USD",Developing,Visa on Arrival
Albania,albania,['Europe'],3M people,"₹20,861.00",4 hrs 30 min behind,"Lek,100 INR = 114.69 ALL",Developed,E-visa
Algeria,algeria,['Africa'],40M people,"₹33,600.00",4 hrs 30 min behind,"Algerian Dinar,100 INR = 162.60 DZD",Developing,Visa Required
Kuwait,kuwait,['Middle East'],4M people,"₹10,251.00",2 hrs 30 min behind,"Kuwaiti Dinar,100 INR = 0.37 KWD",Developing,Visa Required
Malawi,malawi,['Africa'],17M people,"₹38,358.00",3 hrs 30 min behind,"Malawi Kwacha,100 INR = 2032.20 MWK",Least Developed,E-visa
Belarus,belarus,"['Minsk', 'Europe']",9M people,"₹27,460.00",2 hrs 30 min behind,"Belarusian Ruble,100 INR = 3.95 BYN",Developed,Visa Required
Burundi,burundi,['Africa'],10M people,"₹25,624.00",3 hrs 30 min behind,"Burundi Franc,100 INR = 3451.33 BIF",Least Developed,Visa on Arrival
Cabo Verde,cape-verde,['Africa'],531K people,"₹53,595.00",6 hrs 30 min behind,"Cabo Verde Escudo,100 INR = 121.74 CVE",Developing,Visa Required
